Round_Test_Error,Round_Test_Accuracy,Wall_Clock_Time
0.5959000026807189,0.4040999973192811,345.2935161590576
0.20439998507499696,0.7956000149250031,333.39854645729065
0.1252499997615814,0.8747500002384185,329.64622735977173
0.09929999709129333,0.9007000029087067,327.48351407051086
0.08934999704360962,0.9106500029563904,326.8664207458496
0.0766499936580658,0.9233500063419342,327.4805357456207
0.10119998455047607,0.8988000154495239,327.52485966682434
0.12379999160766601,0.876200008392334,326.28096771240234
0.09075000286102294,0.909249997138977,326.0205693244934
0.08705000281333923,0.9129499971866608,322.55236530303955
