Round_Test_Error,Round_Test_Accuracy,Wall_Clock_Time
0.573099996894598,0.426900003105402,337.7803866863251
0.04855000972747803,0.951449990272522,327.16776180267334
0.038450002670288086,0.9615499973297119,332.8157126903534
0.031250005960464476,0.9687499940395355,331.6023852825165
0.03580000400543213,0.9641999959945678,326.6658501625061
0.027449995279312134,0.9725500047206879,327.83087062835693
0.028050005435943604,0.9719499945640564,323.0098383426666
0.029900002479553222,0.9700999975204467,326.9199357032776
0.029649996757507326,0.9703500032424927,329.8604004383087
0.029650002717971802,0.9703499972820282,331.42244029045105
