Round_Test_Error,Round_Test_Accuracy,Wall_Clock_Time
0.6424499987391755,0.3575500012608245,346.82735562324524
0.15494998693466186,0.8450500130653381,334.12296199798584
0.10600000619888306,0.8939999938011169,336.28932523727417
0.09235000014305114,0.9076499998569488,332.5263967514038
0.0906499981880188,0.9093500018119812,331.5817687511444
0.10259999632835388,0.8974000036716461,335.29891300201416
0.0830500066280365,0.9169499933719635,336.1239824295044
0.07960000038146972,0.9203999996185303,330.2877128124237
0.09615000486373901,0.903849995136261,329.78662967681885
0.09250000715255738,0.9074999928474426,333.4679706096649
