Round_Test_Error,Round_Test_Accuracy,Wall_Clock_Time
0.643100002408028,0.356899997591972,358.007302522659
0.236349999904633,0.763650000095367,331.817911148071
0.183399999141693,0.816600000858307,333.829090595245
0.1807000041008,0.8192999958992,329.35297203064
0.165400004386902,0.834599995613098,343.924859285355
0.170199996232986,0.829800003767014,336.356268644333
0.168850004673004,0.831149995326996,335.525923967361
0.162550008296967,0.837449991703034,332.092621564865
0.161999994516373,0.838000005483627,331.350878000259
0.163199996948242,0.836800003051758,330.299515724182
