Round_Test_Error,Round_Test_Accuracy,Wall_Clock_Time
0.7015500000678003,0.2984499999321997,332.2500190734863
0.42085000276565554,0.5791499972343445,324.1335964202881
0.3255499958992004,0.6744500041007996,326.0741505622864
0.30889999568462373,0.6911000043153763,333.5072202682495
0.3071500062942505,0.6928499937057495,325.0114014148712
0.2859500050544739,0.7140499949455261,325.0013155937195
0.2608000099658966,0.7391999900341034,326.6182677745819
0.2615500032901764,0.7384499967098236,324.67508816719055
0.26350000500679016,0.7364999949932098,314.45247316360474
0.2577000081539154,0.7422999918460846,325.5835645198822
