Round_Accuracy,Total_Communication_Cost,Wall_Clock_Time
0.44900000393390654,17243200,327.889413356781
0.8041999995708465,17243200,311.7510166168213
0.8237500011920929,17243200,314.2081699371338
0.8249999940395355,17243200,322.7654414176941
0.8291500031948089,17243200,325.86975145339966
0.8261500000953674,17243200,322.67536306381226
0.8245999991893769,17243200,328.2961962223053
0.8328000009059906,17243200,322.8254351615906
0.8255999922752381,17243200,320.4916579723358
0.8314999997615814,17243200,329.61618757247925
