Round_Accuracy,Total_Communication_Cost,Wall_Clock_Time
0.3365999968722463,17243200,327.721049785614
0.6458000034093857,17243200,327.45867681503296
0.6677999943494797,17243200,325.1861515045166
0.6986999988555909,17243200,323.916556596756
0.7050000131130219,17243200,325.388454914093
0.7203999996185303,17243200,325.7771546840668
0.7110500037670135,17243200,328.87664771080017
0.7273500025272369,17243200,332.5407872200012
0.7387500047683716,17243200,326.60574746131897
0.7119999974966049,17243200,323.7121980190277
