Round_Test_Error,Round_Test_Accuracy,Wall_Clock_Time
0.736849997937679,0.263150002062321,321.284577846527
0.0442499995231628,0.955750000476837,326.776036262512
0.0338500022888184,0.966149997711182,318.576076745987
0.0357999920845032,0.964200007915497,324.284940242767
0.0370000004768372,0.962999999523163,322.234628200531
0.0348500072956085,0.965149992704392,327.904807806015
0.0273000001907349,0.972699999809265,329.446571826935
0.0278500080108643,0.972149991989136,330.061251878738
0.0272499918937683,0.972750008106232,324.689679384232
0.0286500036716461,0.971349996328354,328.535825967789
