Round_Accuracy,Total_Communication_Cost,Wall_Clock_Time
0.4007999981287867,17243200,327.7365999221802
0.8780499994754791,17243200,328.54729866981506
0.9044999957084656,17243200,332.3063793182373
0.9039000034332275,17243200,325.43094658851624
0.9342500030994415,17243200,330.92483162879944
0.9349999964237213,17243200,329.0603578090668
0.9150999963283539,17243200,331.23185682296753
0.9337000131607056,17243200,322.8626871109009
0.9442000031471253,17243200,325.49267625808716
0.9394500017166137,17243200,325.45180320739746
