Round_Accuracy,Total_Communication_Cost,Wall_Clock_Time
0.6241999924182892,17243200,332.47006702423096
0.9552999913692475,17243200,323.7934777736664
0.9584000110626221,17243200,324.80113792419434
0.9636000037193299,17243200,327.07949328422546
0.9625999927520752,17243200,326.72386598587036
0.9682499945163727,17243200,328.938285112381
0.9708000063896179,17243200,324.4053783416748
0.9686999917030334,17243200,321.11813521385193
0.9684499979019165,17243200,318.1554524898529
0.9720499992370606,17243200,320.0560553073883
