Round_Accuracy,Total_Communication_Cost,Wall_Clock_Time
0.19264999851584436,18285280,349.1194133758545
0.428099998831749,18285280,335.37526416778564
0.4778000056743622,18285280,325.16641426086426
0.48015000224113463,18285280,331.18572473526
0.496150004863739,18285280,325.7158885002136
0.49589999616146085,18285280,331.6633880138397
0.4998499989509583,18285280,322.8795237541199
0.5003499954938888,18285280,327.2216782569885
0.5005500048398972,18285280,331.52762484550476
0.5048999965190888,18285280,333.01374673843384
