Round_Accuracy,Total_Communication_Cost,Wall_Clock_Time
0.2772000052034855,18285280,331.9912919998169
0.7102000057697296,18285280,327.7620334625244
0.7127499938011169,18285280,325.5594389438629
0.7366000056266785,18285280,323.6911668777466
0.7335499942302703,18285280,327.830983877182
0.745600014925003,18285280,326.1993978023529
0.7361999928951264,18285280,331.0843596458435
0.7244499981403351,18285280,329.90058302879333
0.7412999987602233,18285280,329.95526146888733
0.7319499909877777,18285280,326.8270969390869
