Round_Test_Error,Round_Test_Accuracy,Wall_Clock_Time
0.90215000003227,0.0978499999677297,323.900851488113
0.643000000715256,0.356999999284744,321.406328201294
0.522549998760223,0.477450001239777,323.260538339615
0.450199994444847,0.549800005555153,334.002225399017
0.463150003552437,0.536849996447563,321.121990919113
0.436199995875359,0.563800004124641,330.442828655243
0.440000000596046,0.559999999403954,327.324460268021
0.429849994182587,0.570150005817413,321.752329111099
0.442799997329712,0.557200002670288,325.623202800751
0.430150005221367,0.569849994778633,328.086055278778
