Round_Test_Error,Round_Test_Accuracy,Wall_Clock_Time
0.850500003993511,0.149499996006489,343.59715461731
0.817199999839067,0.182800000160933,449.300883054733
0.345900005102158,0.654099994897842,472.175879478455
0.259549999237061,0.740450000762939,436.850242853165
0.25,0.75,481.007286548615
0.256650000810623,0.743349999189377,471.647461652756
0.246000003814697,0.753999996185303,502.250286340714
0.250800013542175,0.749199986457825,449.153831243515
0.257199996709824,0.742800003290176,441.890159368515
0.261449992656708,0.738550007343292,374.441585302353
