Round_Test_Error,Round_Test_Accuracy,Wall_Clock_Time
0.7781999986735173,0.22180000132648275,340.2578089237213
0.4432500034570694,0.5567499965429306,331.24487113952637
0.35184999704360964,0.6481500029563904,327.67287397384644
0.3297499895095825,0.6702500104904174,328.43710708618164
0.2975000023841858,0.7024999976158142,327.7192680835724
0.27575000524520876,0.7242499947547912,328.7103924751282
0.26484999656677244,0.7351500034332276,319.30975461006165
0.2522000014781952,0.7477999985218048,325.2407257556915
0.26239999532699587,0.7376000046730041,323.05319690704346
0.26859999895095826,0.7314000010490418,322.2866208553314
