Round_Test_Error,Round_Test_Accuracy,Wall_Clock_Time
0.845900000771508,0.154099999228492,333.389922380447
0.58129999935627,0.41870000064373,325.854117631912
0.492450001835823,0.507549998164177,329.008759260178
0.483549997210503,0.516450002789497,326.32927107811
0.465299996733665,0.534700003266335,332.445145606995
0.465050002932549,0.534949997067452,328.472807407379
0.4807000041008,0.5192999958992,328.360193490982
0.473349994421005,0.526650005578995,334.030061244965
0.460399994254112,0.539600005745888,331.341910362244
0.4574000030756,0.5425999969244,336.630024433136
