Round_Test_Error,Round_Test_Accuracy,Wall_Clock_Time
0.71815000474453,0.28184999525547,346.373125314713
0.38565000295639,0.61434999704361,334.13511967659
0.274200004339218,0.725799995660782,329.504652738571
0.257950001955032,0.742049998044968,331.33008313179
0.263550001382828,0.736449998617172,329.194681882858
0.246450001001358,0.753549998998642,333.081940412521
0.255550003051758,0.744449996948242,327.604741573334
0.250249999761581,0.749750000238419,331.131304264069
0.249949997663498,0.750050002336502,326.349113464355
0.260000002384186,0.739999997615814,328.083630561829
